"","dhs_id","site_id","site_name","latitude","longitude","rural_urban","country","country_id","continent_id","month_start","year_start","month_end","year_end","lower_age","upper_age","examined","positive","pr","species","method","rdt_type","pcr_type","malaria_metrics_available","location_available","permissions_info","citation1","citation2","citation3"
"1","",11617,"Kasekulo Primary School",-0.2381,32.1847,"UNKNOWN","Uganda","UGA","Africa",1,2010,3,2010,10,15,16,0,0,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, SJ, Pullan, RL, Gitonga, CW, Ashton, RA, Kolaczinski, JH, Kabatereine, NB and Snow, RW (2012).  <b><i>Plasmodium</i>-Helminth Coinfection and Its Sources of Heterogeneity Across East Africa.</b> <i>The Journal of Infectious Diseases</i>, <b>0</b>(0):0","",NA
"2","",4593,"Mituuli",0.523,30.2832,"UNKNOWN","Uganda","UGA","Africa",7,1992,7,1992,0,99,50,6.15,0.123,"P. falciparum","Microscopy","",NA,"true","true",""," (1992). <i>Not found in the legacy system.</i> . . ","",NA
"3","",1063,"Maumu",0.3055,33.5029,"UNKNOWN","Uganda","UGA","Africa",8,1993,8,1993,1,13,11,5,0.4545,"P. falciparum","Microscopy","",NA,"true","true","","Okia, M. (1996). <i>Not found in the legacy system.</i> . Jinja. Ministry of Health. ","",NA
"4","",1525,"St. Paul Buyala",0.5155,33.1375,"RURAL","Uganda","UGA","Africa",7,2006,8,2006,2,15,66,35,0.5303,"P. falciparum","Microscopy","",NA,"true","true","","Kabatereine, N, . (2006) personal communication.","Brooker, S, Pullan, RL, Gitonga, CW, Ashton, RA, Kolaczinski, JH, Kabatereine, NB and Snow, RW (2012).  <b>Epidemiology of <i>Plasmodium</i>-helminth coinfection in contrasting transmission settings across East Africa. Journal of Infectious Diseases (in press).</b> <i>UNKNOWN</i>, <b>0</b>(0):0",NA
"5","",5337,"Wangkawa Primary School",2.4791,31.4788,"UNKNOWN","Uganda","UGA","Africa",7,2006,8,2006,6,15,39,14,0.359,"P. falciparum","Microscopy","",NA,"true","true","","Kabatereine, N, . (2006) personal communication.","Brooker, S, Pullan, RL, Gitonga, CW, Ashton, RA, Kolaczinski, JH, Kabatereine, NB and Snow, RW (2012).  <b>Epidemiology of <i>Plasmodium</i>-helminth coinfection in contrasting transmission settings across East Africa. Journal of Infectious Diseases (in press).</b> <i>UNKNOWN</i>, <b>0</b>(0):0",NA
"6","",21844,"Kasolwe Primary School",0.7813,33.2328,"UNKNOWN","Uganda","UGA","Africa",9,2009,9,2009,5,16,99,84,0.8485,"P. falciparum","Microscopy","",NA,"true","true","","Talisuna, A., . (2009) personal communication.","",NA
"7","",5244,"Bukakata Primary School",-0.2864,32.0113,"UNKNOWN","Uganda","UGA","Africa",1,2010,3,2010,5,14,12,6,0.5,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, SJ, Pullan, RL, Gitonga, CW, Ashton, RA, Kolaczinski, JH, Kabatereine, NB and Snow, RW (2012).  <b><i>Plasmodium</i>-Helminth Coinfection and Its Sources of Heterogeneity Across East Africa.</b> <i>The Journal of Infectious Diseases</i>, <b>0</b>(0):0","",NA
"8","",11940,"Alcai Idebe",1.8112,32.2883,"UNKNOWN","Uganda","UGA","Africa",5,1992,5,1992,0,14,106,27,0.2547,"P. falciparum","Microscopy","",NA,"true","true",""," (1992). <i>Malaria situation analysis in Apac, Kabarole, Kampala and Rukingiri Districts: January to May 1992.</i> 696. Kampala. Communicable Diseases Control Division, Ministry of Health, Uganda/UNICEF/WHO. 1-87","",NA
"10","",7491,"Amusiat Primary School",1.1583,33.7713,"UNKNOWN","Uganda","UGA","Africa",9,2009,9,2009,7,15,83,68,0.8193,"P. falciparum","Microscopy","",NA,"true","true","","Talisuna, A., . (2009) personal communication.","",NA
"11","",16695,"Matolo Primary School",0.0928,33.8657,"UNKNOWN","Uganda","UGA","Africa",1,2010,3,2010,3,15,59,29,0.4915,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, SJ, Pullan, RL, Gitonga, CW, Ashton, RA, Kolaczinski, JH, Kabatereine, NB and Snow, RW (2012).  <b><i>Plasmodium</i>-Helminth Coinfection and Its Sources of Heterogeneity Across East Africa.</b> <i>The Journal of Infectious Diseases</i>, <b>0</b>(0):0","",NA
